Wavelength	a15
1114.5	37.36254883
1115	37.3176651
1115.5	37.31517792
1116	37.34152222
1116.5	37.38424683
1117	37.40343857
1117.5	37.38805771
1118	37.38694382
1118.5	37.39608383
1119	37.36231232
1119.5	37.37604904
1120	37.3667984
1120.5	37.34584427
1121	37.3918457
1121.5	37.41558075
1122	37.38181686
1122.5	37.42501831
1123	37.34292603
1123.5	37.38256454
1124	37.36143112
1124.5	37.40989685
1125	37.3883934
1125.5	37.46328735
1126	37.3970108
1126.5	37.4084816
1127	37.36663055
1127.5	37.37869263
1128	37.38350296
1128.5	37.3920784
1129	37.3925705
1129.5	37.43653107
1130	37.41386795
1130.5	37.43931198
1131	37.44752502
1131.5	37.38921356
1132	37.42715073
1132.5	37.38862228
1133	37.46578217
1133.5	37.42136765
1134	37.41775894
1134.5	37.41620636
1135	37.43691635
1135.5	37.40556335
1136	37.42769623
1136.5	37.40755081
1137	37.38743973
1137.5	37.48568726
1138	37.39089203
1138.5	37.4145813
1139	37.48262024
